frame_number,class_id,confidence,x,y,w,h
82,0,0.58033866,125731,155569,56611,158449
82,0,0.70892173,125416,155588,56990,158211
82,0,0.56985193,85161,92316,33146,136785
82,0,0.6375693,85097,92021,32497,137038
82,0,0.5629098,125712,155368,56479,157916
82,0,0.7004483,125436,155631,57303,158833
83,0,0.5422392,85278,92340,32670,136327
83,0,0.635911,85240,92303,32519,136971
83,0,0.55506104,125737,155622,56725,158191
83,0,0.68535244,125453,155639,57108,158247
83,0,0.518422,85271,92298,33177,136916
83,0,0.6048511,85176,91970,32597,136746
83,0,0.5375392,125720,155412,56609,157677
83,0,0.6768165,125474,155683,57441,158795
84,0,0.5729017,85289,92390,32597,136267
84,0,0.655506,85226,92437,32502,137310
84,0,0.5384541,125742,155405,56621,159224
84,0,0.66900396,125445,155405,57032,159129
84,0,0.5486335,85278,92346,33066,136881
84,0,0.6255464,85162,92157,32563,137195
84,0,0.5229597,125724,155183,56494,158744
84,0,0.66128165,125469,155438,57359,159468
85,0,0.5943306,85145,92646,33217,135204
85,0,0.6706577,85080,92578,33114,136641
85,0,0.61446846,125530,155590,55876,153454
85,0,0.7175285,125275,155445,56174,154384
85,0,0.5733834,85132,92585,33674,135793
85,0,0.6455906,85020,92410,33145,136634
85,0,0.5988121,125500,155404,55835,153091
85,0,0.70947623,125292,155451,56483,155091
86,0,0.59770113,85131,92666,33228,135109
86,0,0.6727896,85067,92616,33136,136589
86,0,0.6052284,125534,155443,55839,153142
86,0,0.7113177,125283,155254,56159,154121
86,0,0.5767459,85116,92596,33675,135709
86,0,0.64807415,85007,92469,33164,136597
86,0,0.58978415,125502,155251,55806,152788
86,0,0.70360833,125297,155239,56476,154764
87,0,0.50669944,84882,92675,33056,135618
87,0,0.62554246,85007,92857,32824,135947
87,0,0.66612893,125507,157386,55215,151727
87,0,0.7618356,125269,156921,55534,152988
87,0,0.59818286,84950,92723,32870,135928
87,0,0.6546052,125470,157198,55191,151418
87,0,0.7585436,125310,156828,55745,153288
88,0,0.5173908,84913,92753,33005,135717
88,0,0.62986976,85015,92835,32768,136001
88,0,0.6728286,125500,157225,55221,151761
88,0,0.76491046,125253,156704,55519,152993
88,0,0.6019498,84956,92693,32813,135972
88,0,0.66205794,125465,157037,55190,151427
88,0,0.7614724,125294,156603,55728,153227
89,0,0.5601207,125751,156345,55380,163227
89,0,0.62060165,85195,93366,32459,134902
89,0,0.65019494,126056,156735,55076,161090
89,0,0.74972355,125825,156699,55415,161227
89,0,0.59075785,85149,93249,32514,134987
89,0,0.6462931,126017,156413,55004,160724
89,0,0.7483884,125865,156659,55640,161228
90,0,0.5486126,125724,156160,55380,163062
90,0,0.62300265,85213,93339,32484,134873
90,0,0.65023863,126036,156374,55033,160682
90,0,0.74753195,125799,156321,55376,160778
90,0,0.5935307,85167,93220,32530,134933
90,0,0.64646125,125996,156057,54961,160319
90,0,0.7462176,125838,156278,55601,160741
91,0,0.53289354,84644,92263,32999,134723
91,0,0.63097286,84830,92361,32567,135605
91,0,0.50043744,125897,154350,54792,165172
91,0,0.6493728,125745,155955,54967,162336
91,0,0.5074064,84612,92189,33499,135294
91,0,0.5998615,84778,92274,32621,135586
91,0,0.50153476,125861,154334,54697,164910
91,0,0.65637004,125801,156094,55299,161767
92,0,0.6028689,85226,92995,32504,135827
92,0,0.6101438,126258,152659,55089,172298
92,0,0.5744095,85180,92833,32554,135804
92,0,0.6247048,126303,153291,55319,170856
93,0,0.6067682,85204,92930,32558,135907
93,0,0.61360836,126283,152766,55038,172257
93,0,0.5786924,85157,92764,32600,135866
93,0,0.62822723,126325,153415,55263,170811
94,0,0.5037951,84934,92200,32789,136120
94,0,0.62016165,85143,92824,32480,136167
94,0,0.5907267,126313,154030,54949,170229
94,0,0.59179646,85092,92674,32509,136126
94,0,0.60635424,126366,154703,55180,168151
95,0,0.61835337,85342,92630,32427,136000
95,0,0.69154197,85482,92868,32452,137062
95,0,0.58868515,126164,152806,53752,179597
95,0,0.5970792,85317,92532,32842,136805
95,0,0.66374516,85431,92841,32434,137212
95,0,0.61078596,126203,153538,53903,179709
96,0,0.6149522,85332,92654,32385,136044
96,0,0.6889036,85469,92898,32421,137115
96,0,0.5974566,126172,152771,53732,179625
96,0,0.5936196,85308,92556,32805,136850
96,0,0.6607487,85418,92869,32402,137259
96,0,0.61927086,126206,153482,53879,179754
97,0,0.5051646,127117,158044,52026,178662
97,0,0.5669491,85537,92571,32422,136396
97,0,0.65628535,85649,92814,32365,136750
97,0,0.5333354,127525,150415,54311,181711
97,0,0.68832564,127547,152005,53929,182625
97,0,0.54208153,85524,92496,32893,137191
97,0,0.62550354,85613,92770,32408,136907
97,0,0.5472204,127539,150645,54289,182899
97,0,0.7052276,127538,152313,53964,182610
98,0,0.5629712,85556,92509,32420,136407
98,0,0.65002793,85666,92776,32364,136775
98,0,0.5130262,127700,150323,54564,181630
98,0,0.6704692,127738,151992,54022,182736
98,0,0.53666013,85547,92448,32895,137189
98,0,0.618544,85632,92730,32402,136964
98,0,0.52687454,127718,150525,54549,182917
98,0,0.68724924,127728,152273,54071,182717
99,0,0.62273204,85800,92671,32910,136055
99,0,0.67256904,85807,92811,32609,137180
99,0,0.5209776,128345,150221,55318,182398
99,0,0.673846,128587,151610,54607,183107
99,0,0.59630835,85807,92599,33389,136867
99,0,0.64113104,85764,92689,32615,137467
99,0,0.5361486,128385,150363,55316,182919
99,0,0.6911395,128585,151842,54643,183086
100,0,0.6254181,85795,92641,32901,136040
100,0,0.67445564,85797,92781,32590,137184
100,0,0.5138861,128359,150223,55388,182431
100,0,0.6696678,128594,151668,54651,183068
100,0,0.5985936,85802,92573,33379,136842
100,0,0.6429811,85756,92659,32594,137464
100,0,0.529168,128400,150376,55382,183072
100,0,0.68706334,128590,151903,54694,183077
101,0,0.5500393,85804,92672,32952,134840
101,0,0.618991,85860,92631,32653,135566
101,0,0.6425738,128993,151884,53288,184836
101,0,0.5266024,85818,92572,33450,135623
101,0,0.58370334,85815,92461,32722,135870
101,0,0.6638615,129020,152122,53361,184884
102,0,0.5512353,85812,92680,32900,134764
102,0,0.6204252,85864,92615,32630,135465
102,0,0.64427614,128886,151885,53554,184996
102,0,0.5278189,85825,92578,33392,135534
102,0,0.5850638,85817,92440,32697,135770
102,0,0.66489756,128916,152120,53624,185124
103,0,0.53173894,85657,92544,33097,135808
103,0,0.6082091,85738,92563,32652,136162
103,0,0.59489655,130608,152334,52034,185226
103,0,0.5102084,85663,92419,33592,136386
103,0,0.57205534,85685,92246,32694,136214
103,0,0.61208266,130674,152585,52184,185604
104,0,0.5280235,85603,92482,33096,135607
104,0,0.603609,85678,92476,32693,136046
104,0,0.6169959,130740,151686,51914,182538
104,0,0.50631726,85610,92364,33594,136188
104,0,0.5676741,85622,92148,32724,136076
104,0,0.63405085,130799,151934,52089,182678
105,0,0.5685365,131457,160250,50570,161317
105,0,0.5271104,131259,161166,49622,163644
105,0,0.5735857,131461,160186,50917,162839
105,0,0.53777313,131344,160860,50027,164030
106,0,0.5661348,131462,160277,50682,161532
106,0,0.5237601,131269,161101,49676,163785
106,0,0.5705863,131473,160202,51048,163019
106,0,0.53503764,131356,160803,50079,164219
108,0,0.5502275,142012,67082,32706,100084
108,0,0.5143638,142037,66843,32586,99351
108,0,0.5394917,142047,66815,32862,99384
108,0,0.55299205,142202,71564,33814,109250
108,0,0.5216036,142104,71910,33952,110740
109,0,0.5485325,142013,67008,32729,100029
109,0,0.51264143,142037,66769,32606,99317
109,0,0.538026,142047,66740,32883,99318
109,0,0.5524218,142204,71043,33816,108240
109,0,0.521362,142107,71380,33950,109717
110,0,0.5833889,141664,67532,32399,98219
110,0,0.5635302,141690,67359,32309,98000
110,0,0.5743426,141693,67286,32516,97719
110,0,0.53818023,141947,71764,33927,108430
110,0,0.50675213,141856,72100,33988,109609
111,0,0.5749618,141593,67529,32237,98545
111,0,0.55274016,141618,67344,32142,98133
111,0,0.5658355,141620,67279,32357,98052
111,0,0.54103434,141879,72627,33825,110321
111,0,0.51005805,141785,72928,33900,111420
112,0,0.5839487,141609,67752,32177,99697
112,0,0.55960995,141644,67559,32092,99281
112,0,0.5742003,141653,67508,32341,99087
112,0,0.5383971,141840,75858,34043,117406
112,0,0.50776035,186058,145867,45888,185164
112,0,0.5074684,141772,76043,34118,117808
112,0,0.5295024,186062,146084,45975,186229
113,0,0.5849956,141584,67760,32083,99701
113,0,0.5607984,141619,67567,31998,99299
113,0,0.5753892,141628,67516,32246,99089
113,0,0.5390635,141829,75625,33976,116915
113,0,0.50505805,186094,145713,45849,184928
113,0,0.50831044,141762,75810,34050,117345
113,0,0.5266004,186093,145903,45944,185965
114,0,0.58597,141578,67963,32155,100250
114,0,0.561897,141615,67763,32069,99841
114,0,0.57660484,141620,67755,32319,99632
114,0,0.551866,141754,77329,34066,120262
114,0,0.5217637,141690,77357,34134,120404
115,0,0.5421846,141090,67897,31519,99319
115,0,0.5195443,141137,67702,31437,99257
115,0,0.5337132,141133,67672,31644,98634
115,0,0.5438258,141587,76805,33657,119000
115,0,0.5114961,141532,77050,33769,119552
116,0,0.5284631,141163,67875,31448,99273
116,0,0.504844,141207,67677,31367,99151
116,0,0.5194268,141204,67642,31573,98566
116,0,0.5379349,141604,77652,33584,120758
116,0,0.5056889,141547,77821,33701,121180
117,0,0.57408863,141014,67932,31519,98798
117,0,0.5540297,141057,67741,31414,98658
117,0,0.5671979,141052,67704,31590,98234
117,0,0.5675708,141398,77485,33232,120111
117,0,0.53481954,141344,77640,33298,120101
118,0,0.5323485,140942,67863,31198,97208
